Rank,From,To,Airline,Distance,Scheduled Duration
1,Newark,Singapore,Singapore Airlines,15344 km (9534 mi; 8285 nmi),18:30 to 18:45
2,Auckland,Doha,Qatar Airways,14535 km (9032 mi; 7848 nmi),17:40 to 18:20
3,Perth,London–Heathrow,Qantas,14499 km (9009 mi; 7829 nmi),17:20
4,Auckland,Dubai,Emirates,14200 km (8823 mi; 7667 nmi),17:05 to 17:20
5,Los Angeles,Singapore,United Airlines,14113 km (8769 mi; 7620 nmi),17:00 to 17:55
6,Houston,Sydney,United Airlines,13834 km (8596 mi; 7470 nmi),17:30
7,Dallas/Fort Worth,Sydney,Qantas,13804 km (8577 mi; 7454 nmi),16:50 to 17:05
8,San Francisco,Singapore,Singapore Airlines; United Airlines,13593 km (8446 mi; 7340 nmi),16:25 to 17:35
9,Johannesburg,Atlanta,Delta Air Lines,13581 km (8439 mi; 7333 nmi),16:03 to 16:55
10,Abu Dhabi,Los Angeles,Etihad Airways,13502 km (8390 mi; 7290 nmi),16:35 to 17:00
11,Dubai,Los Angeles,Emirates,13420 km (8339 mi; 7246 nmi),16:00 to 16:20
12,Jeddah,Los Angeles,Saudia,13409 km (8332 mi; 7240 nmi),16:05
13,Doha,Los Angeles,Qatar Airways,13367 km (8306 mi; 7218 nmi),16:00 to 16:20
14,Toronto,Manila,Philippine Airlines,13230 km (8221 mi; 7144 nmi),15:30 to 16:30
15,Vancouver,Melbourne,Air Canada,13183 km (8192 mi; 7118 nmi),16:00 to 16:10
16,Dubai,Houston,Emirates,13144 km (8167 mi; 7097 nmi),16:15 to 16:45
17,Washington D.C.,Hong Kong,Cathay Pacific,13122 km (8154 mi; 7085 nmi),15:55
18,Dallas/Fort Worth,Hong Kong,American Airlines,13072 km (8123 mi; 7058 nmi),16:10 to 16:55
19,Dubai,San Francisco,Emirates,13041 km (8103 mi; 7042 nmi),15:50 to 16:15
20,New York–JFK,Hong Kong,Cathay Pacific,12990 km (8072 mi; 7014 nmi),15:40 to 16:15
21,Newark,Hong Kong,Cathay Pacific; United Airlines,12980 km (8065 mi; 7009 nmi),15:45 to 16:00
22,Doha,Houston,Qatar Airways,12952 km (8048 mi; 6994 nmi),15:50 to 16:30
23,Dubai,Dallas/Fort Worth,Emirates,12940 km (8041 mi; 6987 nmi),16:00 to 16:15
24,Shanghai,Mexico City,Aeroméxico,12889 km (8009 mi; 6960 nmi),14:30 to 15:15
25,New York–JFK,Guangzhou,China Southern Airlines,12878 km (8002 mi; 6954 nmi),15:50 to 16:05
26,Boston,Hong Kong,Cathay Pacific,12826 km (7970 mi; 6925 nmi),15:25 to 15:35
27,Johannesburg,New York–JFK,South African Airways,12825 km (7969 mi; 6925 nmi),15:40 to 16:05
28,Houston,Taipei,EVA Air,12776 km (7939 mi; 6898 nmi),15:30 to 16:30
29,Doha,Dallas/Fort Worth,Qatar Airways,12765 km (7932 mi; 6893 nmi),15:25 to 16:15
30,Los Angeles,Melbourne,Qantas; United Airlines; Virgin Australia,12749 km (7922 mi; 6884 nmi),15:30 to 15:50